row_id,series_id,measurement_number,orientation_X,orientation_Y,orientation_Z,orientation_W,angular_velocity_X,angular_velocity_Y,angular_velocity_Z,linear_acceleration_X,linear_acceleration_Y,linear_acceleration_Z
334_0,334,0,0.22563000000000002,0.9625,0.14806,0.027507999999999998,0.034279000000000004,0.05325800000000001,-0.10747000000000001,0.27339,1.8529,-10.374
334_1,334,1,0.22549,0.96255,0.14801,0.02745,0.052062,0.052471000000000004,-0.10865999999999999,0.53903,2.0188,-9.8898
334_2,334,2,0.22537,0.9625799999999999,0.14797000000000002,0.027426,0.049791,0.034033,-0.11255,0.37113,1.966,-9.4199
334_3,334,3,0.22521999999999998,0.96262,0.14792,0.027408999999999996,0.044447,0.022144999999999998,-0.11723,0.5103300000000001,1.8041,-9.1816
334_4,334,4,0.22508000000000003,0.9626600000000001,0.1479,0.02738,0.019926,0.037056,-0.11452000000000001,0.30494,2.0348,-9.1118
334_5,334,5,0.22491999999999998,0.9627,0.1479,0.027347000000000003,0.004506100000000001,0.045281999999999996,-0.12573,0.36989,1.7599,-9.6408
334_6,334,6,0.22478,0.9627399999999999,0.14784,0.027306999999999998,0.007551899999999999,0.04202,-0.12804000000000001,0.31109000000000003,1.3635,-10.217
334_7,334,7,0.22463000000000002,0.96278,0.14781,0.027287,0.029896,0.028645999999999998,-0.12624000000000002,0.36998000000000003,1.3208,-10.237
334_8,334,8,0.22446999999999998,0.96283,0.14778,0.027257,0.029811,0.038135,-0.12963,0.48473999999999995,1.6701,-9.4074
334_9,334,9,0.22430999999999998,0.96286,0.14777,0.027235000000000002,0.01463,0.033208999999999995,-0.1206,0.1264,1.2429999999999999,-8.9746
334_10,334,10,0.22415,0.9629,0.14779,0.027223,-0.0012115000000000001,0.031799,-0.12364000000000001,0.17509,1.3046,-8.7006
334_11,334,11,0.22401,0.96293,0.14782,0.027216000000000004,-0.020216,0.028671,-0.11721,-0.13047999999999998,1.0614,-9.1077
334_12,334,12,0.22386,0.96296,0.14785,0.027195,-0.024177,0.041132,-0.11880999999999999,-0.033591,1.1274,-9.596
334_13,334,13,0.2237,0.96299,0.1479,0.027166000000000003,-0.029396,0.049241,-0.12087,0.047013,1.6984,-9.7074
334_14,334,14,0.22355999999999998,0.9630200000000001,0.14787999999999998,0.027170999999999997,-0.030397000000000004,0.038014,-0.11848,0.044111000000000004,1.5534,-10.083
334_15,334,15,0.22341,0.96305,0.14792,0.027157,-0.028741000000000003,0.035894,-0.11410999999999999,0.36913,1.7673,-10.036
334_16,334,16,0.22326,0.9630799999999999,0.14795999999999998,0.027131,-0.02901,0.045641,-0.11609000000000001,0.34256,1.7058,-9.9067
334_17,334,17,0.22311,0.96311,0.14801,0.027114999999999997,-0.035552999999999994,0.039916,-0.11782999999999999,0.4038,1.8955,-9.5292
334_18,334,18,0.22296999999999997,0.9631299999999999,0.14807,0.02712,-0.050426,0.02555,-0.11139,0.19252,2.3206,-9.0611
334_19,334,19,0.22283000000000003,0.96315,0.14814000000000002,0.027127999999999996,-0.056261,0.02275,-0.10893,-0.044093,2.3925,-9.1897
334_20,334,20,0.22269,0.9631799999999999,0.14820999999999998,0.027127,-0.05585,0.031136,-0.11298,-0.16725,2.5546,-9.4187
