row_id,series_id,measurement_number,orientation_X,orientation_Y,orientation_Z,orientation_W,angular_velocity_X,angular_velocity_Y,angular_velocity_Z,linear_acceleration_X,linear_acceleration_Y,linear_acceleration_Z
57_0,57,0,-0.040943,-0.9875,-0.15217999999999998,0.0031304,0.006905199999999999,-0.024942,0.037093,0.1367,0.67709,-9.9632
57_1,57,1,-0.040945999999999996,-0.9875200000000001,-0.15208,0.0031449,0.023775,0.0010282,0.030858999999999998,0.24896,0.23465999999999998,-11.095
57_2,57,2,-0.040999,-0.9875200000000001,-0.15202000000000002,0.003143,0.047079,-0.009855599999999999,0.041520999999999995,0.49032,0.26681,-10.205
57_3,57,3,-0.041063999999999996,-0.9875299999999999,-0.15192999999999998,0.0030981999999999997,0.068134,-0.046207,0.045943,0.18596,0.89785,-8.9889
57_4,57,4,-0.041128,-0.98754,-0.15189,0.0030577,0.031538,-0.041111,0.045343,0.56121,1.1819,-8.6879
57_5,57,5,-0.041172,-0.9875299999999999,-0.15194000000000002,0.0030627,-0.013281,-0.0067249,0.042109,0.001541,0.64935,-8.8397
57_6,57,6,-0.041217000000000004,-0.9875200000000001,-0.15195,0.0030513000000000003,-0.013974,-0.013831,0.033693,-0.17428,0.17568,-8.8736
57_7,57,7,-0.041269,-0.9875200000000001,-0.15195999999999998,0.0030221999999999996,-0.0085056,-0.029142,0.038271,-0.106,0.82086,-9.0686
57_8,57,8,-0.041304,-0.9875200000000001,-0.15195999999999998,0.0029872,-0.0025794,-0.03182,0.023142,-0.38389,0.9847600000000001,-9.5016
57_9,57,9,-0.041364,-0.9875200000000001,-0.15194000000000002,0.0029793000000000003,-0.01678,0.0043035,0.022237,0.18782000000000001,1.0529,-9.311
57_10,57,10,-0.041367,-0.98751,-0.15199000000000001,0.0029861999999999996,-0.037909,0.0067055000000000005,0.0028715,-0.42558999999999997,1.4487,-9.5561
57_11,57,11,-0.041386,-0.98751,-0.15202000000000002,0.0029551,-0.028022000000000002,-0.025792000000000002,0.01152,0.0082076,1.0975,-10.196
57_12,57,12,-0.041391000000000004,-0.9875,-0.15203,0.0029311999999999997,-0.010714,-0.019072,0.00087023,-0.77709,0.54143,-10.549000000000001
57_13,57,13,-0.041408,-0.9875,-0.15205,0.0029133,-0.018862,0.0063837,-0.01341,-0.22555,2.3575,-9.1811
57_14,57,14,-0.041389999999999996,-0.98749,-0.1521,0.0029497,-0.04013,0.032633999999999996,-0.0095069,-0.5375800000000001,1.7234,-9.3991
57_15,57,15,-0.041373,-0.98749,-0.15216,0.002937,-0.04672,-0.006099,-0.014521000000000001,-1.2541,1.4547,-9.6452
57_16,57,16,-0.041362,-0.9874799999999999,-0.15220999999999998,0.0029188,-0.046044999999999996,-0.011092,-0.011295,-0.11167,2.2779,-10.085
57_17,57,17,-0.041352,-0.9874799999999999,-0.15222,0.002937,-0.037870999999999995,0.033389,-0.020759,-0.67369,1.6634,-10.131
57_18,57,18,-0.041325,-0.9874700000000001,-0.15225,0.0029811,-0.022203999999999998,0.039215,-0.016469,-0.42858999999999997,2.6719999999999997,-8.3076
57_19,57,19,-0.041319,-0.9874700000000001,-0.15229,0.0029745,-0.039144,-0.0028759000000000002,-0.0054345,-0.22962,1.8935,-8.8966
57_20,57,20,-0.041329000000000005,-0.98746,-0.15236,0.0029574000000000002,-0.050828,-0.012773,0.006552,-0.87611,2.9341,-8.4994
57_21,57,21,-0.041315,-0.98744,-0.15248,0.0029654,-0.10282999999999999,0.020556,0.0035077,-0.76785,3.4524,-9.5534
57_22,57,22,-0.041317,-0.9874200000000001,-0.15259,0.0030459,-0.084984,0.067022,0.011313,-0.8147,2.3431,-11.089
57_23,57,23,-0.041326999999999996,-0.98741,-0.15264,0.0031,-0.045387000000000004,0.043532,0.014684000000000001,-0.17381,3.3909,-11.344000000000001
57_24,57,24,-0.04135,-0.98741,-0.15267,0.0031285,-0.019941999999999998,0.020449000000000002,0.022155,0.62555,3.1737,-11.107999999999999
57_25,57,25,-0.041351,-0.9874,-0.15272,0.0031206999999999997,-0.009976299999999999,0.039198000000000004,0.009396700000000001,2.1379,3.3069,-9.4902
57_26,57,26,-0.041363,-0.9874,-0.15272,0.0031707,-0.00014156,0.038058,0.015923,1.5607,3.1089,-7.5694
57_27,57,27,-0.041391000000000004,-0.98739,-0.15274000000000001,0.0031292,-0.014499000000000001,-0.035742,0.017209000000000002,0.8869100000000001,3.4959,-6.3465
57_28,57,28,-0.041444,-0.9873799999999999,-0.15281,0.0030509,-0.063902,-0.065669,0.031982,-0.58938,3.4807,-7.3448
57_29,57,29,-0.041435,-0.9873700000000001,-0.15287,0.0031480999999999996,-0.088246,0.0038131999999999997,0.010198,-0.8458700000000001,4.3353,-9.1882
