series_id,group_id,surface
26,13,fine_concrete
27,27,hard_tiles
36,1,tiled
58,7,carpet
151,0,concrete
173,20,concrete
209,16,hard_tiles_large_space
220,28,tiled
222,3,soft_pvc
267,26,soft_pvc
327,19,soft_pvc
351,21,soft_tiles
499,7,carpet
537,5,concrete
560,33,hard_tiles_large_space
570,12,concrete
582,22,soft_tiles
663,9,soft_tiles
724,14,wood
735,14,wood
739,31,concrete
760,4,soft_tiles
795,35,fine_concrete
816,2,wood
830,21,soft_tiles
885,32,concrete
947,6,soft_pvc
950,26,soft_pvc
975,23,wood
999,15,soft_tiles
1073,29,soft_pvc
1091,7,carpet
1164,0,concrete
1165,25,carpet
1182,9,soft_tiles
1228,23,wood
1270,21,soft_tiles
1277,27,hard_tiles
1339,26,soft_pvc
1353,33,hard_tiles_large_space
1362,4,soft_tiles
1426,0,concrete
1439,15,soft_tiles
1467,34,soft_pvc
1488,6,soft_pvc
1554,18,soft_pvc
1635,2,wood
1711,45,wood
1849,40,hard_tiles_large_space
1857,64,tiled
1908,59,hard_tiles_large_space
1912,54,tiled
1982,65,wood
1994,70,soft_pvc
2014,51,soft_pvc
2129,68,fine_concrete
2177,59,hard_tiles_large_space
2205,38,wood
2213,47,concrete
2275,65,wood
2286,36,fine_concrete
2360,47,concrete
2377,43,wood
2390,43,wood
2429,54,tiled
2441,44,hard_tiles_large_space
2445,71,tiled
2474,42,concrete
2482,70,soft_pvc
2494,54,tiled
2567,68,fine_concrete
2612,55,tiled
2642,42,concrete
2694,46,wood
2833,66,tiled
2851,51,soft_pvc
2930,61,concrete
3120,51,soft_pvc
3166,70,soft_pvc
3169,68,fine_concrete
3249,45,wood
3259,48,fine_concrete
3281,48,fine_concrete
3353,63,concrete
3394,49,wood
3422,71,tiled
3432,64,tiled
3500,41,concrete
3518,37,soft_pvc
3541,62,concrete
3560,53,soft_pvc
3575,42,concrete
3583,46,wood
3675,43,wood
3684,61,concrete
3708,56,soft_pvc
3742,64,tiled
3748,55,tiled
